DATE,JPNRGDPEXP
1994-01-01,446278.4
1994-04-01,443809.1
1994-07-01,448901.9
1994-10-01,447159.0
1995-01-01,452079.9
1995-04-01,456335.5
1995-07-01,461686.9
1995-10-01,462842.4
1996-01-01,466560.6
1996-04-01,472541.4
1996-07-01,473161.6
1996-10-01,478435.3
1997-01-01,479627.6
1997-04-01,476069.1
1997-07-01,477007.8
1997-10-01,477171.5
1998-01-01,471353.6
1998-04-01,469296.5
1998-07-01,470145.5
1998-10-01,473898.6
1999-01-01,467402.5
1999-04-01,469169.0
1999-07-01,471675.7
1999-10-01,471815.2
2000-01-01,479879.8
2000-04-01,482110.6
2000-07-01,482255.7
2000-10-01,486908.1
2001-01-01,490569.1
2001-04-01,486853.0
2001-07-01,481592.3
2001-10-01,479877.2
2002-01-01,480757.0
2002-04-01,484596.7
2002-07-01,486170.9
2002-10-01,487481.1
2003-01-01,487810.8
2003-04-01,491136.8
2003-07-01,492617.6
2003-10-01,497967.4
2004-01-01,501617.8
2004-04-01,501699.0
2004-07-01,504767.8
2004-10-01,503816.3
2005-01-01,506390.2
2005-04-01,510348.4
2005-07-01,515485.4
2005-10-01,516428.3
2006-01-01,517219.9
2006-04-01,518031.9
2006-07-01,516973.4
2006-10-01,524002.2
2007-01-01,527411.4
2007-04-01,527633.1
2007-07-01,524773.4
2007-10-01,527078.6
2008-01-01,528876.3
2008-04-01,525853.8
2008-07-01,519365.1
2008-10-01,506505.4
2009-01-01,482062.2
2009-04-01,491586.2
2009-07-01,491429.8
2009-10-01,497444.4
2010-01-01,502599.0
2010-04-01,508751.3
2010-07-01,517965.4
2010-10-01,513713.0
2011-01-01,508233.2
2011-04-01,503920.8
2011-07-01,516137.5
2011-10-01,515459.1
2012-01-01,522528.2
2012-04-01,517804.6
2012-07-01,515831.2
2012-10-01,515554.8
2013-01-01,522569.7
2013-04-01,527300.7
2013-07-01,532392.6
2013-10-01,531820.1
2014-01-01,535972.7
2014-04-01,526384.1
2014-07-01,526896.3
2014-10-01,529349.1
2015-01-01,537385.6
2015-04-01,538251.4
2015-07-01,538838.1
2015-10-01,537898.2
2016-01-01,541770.3
2016-04-01,541047.9
2016-07-01,542144.2
2016-10-01,542945.9
2017-01-01,547192.0
2017-04-01,549338.4
2017-07-01,553843.3
2017-10-01,554523.6
2018-01-01,554945.3
2018-04-01,556936.3
2018-07-01,553826.1
2018-10-01,553107.5
2019-01-01,554380.0
2019-04-01,556448.1
2019-07-01,557260.3
2019-10-01,541941.1
2020-01-01,544708.3
2020-04-01,502447.9
2020-07-01,530164.5
2020-10-01,539977.5
2021-01-01,541478.3
2021-04-01,543500.9
2021-07-01,541145.3
2021-10-01,547217.3
2022-01-01,543952.4
2022-04-01,549836.6
2022-07-01,549308.7
2022-10-01,550671.4
2023-01-01,557430.3
2023-04-01,562338.0
2023-07-01,558240.3
